PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK
1627734,Domantas Sabonis,Domantas,1610612758,SAC,29.0,70,36,34,0.514,2428.8766666666666,527,893,0.59,65,156,0.417,218,289,0.754,267,705,972,423,202,48,26,59,229,277,1337,144,3157.9,61,10,2945.0,118,136,441,259,33,33,64,45,209,233,47,47,42,302,3,3,2,20,15,171,158,531,564,25,42,94,13,1,3,14
1627736,Malik Beasley,Malik,1610612765,DET,28.0,82,44,38,0.537,2282.9466666666667,461,1071,0.43,319,766,0.416,95,140,0.679,47,167,214,139,83,73,5,29,125,108,1336,175,1952.3,1,0,2164.0,1,62,475,240,45,48,36,345,2,3,48,145,130,428,205,206,214,159,145,66,396,408,428,156,43,78,89,198,44,63
1631101,Shaedon Sharpe,Shaedon,1610612757,POR,21.0,72,32,40,0.444,2252.33,499,1104,0.452,147,472,0.311,190,242,0.785,68,256,324,198,150,62,16,48,120,189,1335,-138,2104.8,3,0,2160.0,95,179,503,353,51,37,33,271,64,30,358,60,58,241,129,98,103,103,48,106,242,501,415,63,44,484,70,134,44,64
1628384,OG Anunoby,OG,1610612752,NYK,27.0,74,45,29,0.608,2705.7766666666666,489,1027,0.476,171,460,0.372,183,226,0.81,97,261,358,164,102,110,65,89,172,175,1332,301,2430.6,1,0,2375.0,71,56,362,157,9,39,42,191,36,36,167,64,67,198,73,94,87,128,104,11,38,567,529,74,45,41,50,198,44,47
1630217,Desmond Bane,Desmond,1610612763,MEM,26.0,69,38,31,0.551,2205.225,493,1018,0.484,164,418,0.392,177,198,0.894,62,356,418,369,169,80,28,76,164,137,1327,143,2537.1,10,1,2494.0,129,110,395,230,59,38,44,166,43,50,110,66,82,50,145,42,57,32,36,46,144,559,511,107,46,95,41,62,20,40
1630596,Evan Mobley,Evan,1610612739,CLE,23.0,71,58,13,0.817,2166.555,505,906,0.557,85,230,0.37,221,305,0.725,164,495,659,226,145,61,113,51,141,239,1316,546,2822.8,37,0,2634.0,108,7,157,24,63,36,62,64,165,171,175,45,38,358,26,14,15,85,53,111,5,511,464,44,47,5,23,13,44,29
1626181,Norman Powell,Norman,1610612746,LAC,31.0,60,39,21,0.65,1957.9883333333332,457,945,0.484,179,428,0.418,213,265,0.804,21,169,190,125,108,73,9,52,114,208,1306,352,1859.5,1,0,1964.0,206,100,253,99,96,51,52,168,28,47,44,51,49,208,358,202,240,184,91,66,346,516,396,59,48,23,99,198,44,81
1628970,Miles Bridges,Miles,1610612766,CHA,27.0,64,16,48,0.25,2028.735,469,1089,0.431,141,450,0.313,221,254,0.87,72,409,481,248,136,44,45,72,93,181,1300,-259,2380.2,14,1,2348.0,170,340,542,489,87,47,35,343,70,39,354,45,52,83,119,24,36,77,63,197,70,554,323,69,49,532,55,40,20,53
203944,Julius Randle,Julius,1610612750,MIN,30.0,69,44,25,0.638,2225.5266666666666,455,939,0.485,108,314,0.344,270,335,0.806,144,343,487,323,196,47,16,60,175,257,1288,166,2349.9,14,0,2332.0,129,62,300,109,56,53,55,165,119,108,264,30,26,205,36,45,35,54,19,178,242,534,530,34,50,84,57,40,44,54
203076,Anthony Davis,Anthony,1610612742,DAL,32.0,51,30,21,0.588,1705.4883333333332,470,910,0.516,35,124,0.282,286,369,0.775,134,456,590,181,113,59,110,39,98,273,1261,25,2634.5,36,1,2405.0,275,196,253,186,145,46,61,97,274,262,407,23,20,263,38,16,20,113,83,124,7,462,341,26,51,180,35,14,20,45
